,Unnamed: 0,Institution Name,City,State,Zip Code,zip,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate,county,Median Income,Total Count,Below Poverty,Above Poverty,Poverty Rate
108,108,Aviation Institute of Maintenance-Houston,Houston,TX,77061,77061,Private Non-Profit,29.65852,-95.28262,250.0,25268.0,,16757.0,16757.0,,Harris,70789,4677056,737681,3939375,15.772336273074345
109,109,Rice University,Houston,TX,77005-1827,77005,Private for Profit,29.717897,-95.402035,4480.0,71745.0,,54960.0,54960.0,0.0868,Harris,70789,4677056,737681,3939375,15.772336273074345
110,110,Saint Edward's University,Austin,TX,78704-6489,78704,Private for Profit,30.229618,-97.754998,2751.0,63671.0,,50766.0,50766.0,0.851,Travis,92731,1262697,142451,1120246,11.281487165963014
111,111,St Philip's College,San Antonio,TX,78203-2098,78203,Public,29.41508,-98.453285,9344.0,12147.0,,3262.0,14272.0,,Bexar,67275,1977132,299972,1677160,15.172077534529812
112,112,University of St Thomas,Houston,TX,77006-4696,77006,Private for Profit,29.736438,-95.393102,2524.0,42639.0,,32484.0,32484.0,0.9671,Harris,70789,4677056,737681,3939375,15.772336273074345
113,113,Sam Houston State University,Huntsville,TX,77340,77340,Public,30.714738,-95.546205,18184.0,23962.0,,8960.0,18752.0,0.8463,Walker,47193,60850,11841,49009,19.45932621199671
114,114,San Antonio College,San Antonio,TX,78212-3941,78212,Public,29.44634,-98.497647,15568.0,11834.0,,3262.0,14272.0,,Bexar,67275,1977132,299972,1677160,15.172077534529812
115,115,San Jacinto Community College,Pasadena,TX,77505,77505,Public,29.660032,-95.114677,22790.0,14372.0,,1872.0,5040.0,,Harris,70789,4677056,737681,3939375,15.772336273074345
116,116,Schreiner University,Kerrville,TX,78028-5697,78028,Private for Profit,30.031458,-99.130586,1056.0,45167.0,,35614.0,35614.0,0.852,Kerr,66713,51003,6395,44608,12.538478128737529
117,117,Seguin Beauty School-Seguin,Seguin,TX,78155,78155,Private Non-Profit,29.569142,-97.96436,50.0,,21885.0,,,,Guadalupe,88111,171796,14956,156840,8.705674171692007
118,118,St. Mary's University,San Antonio,TX,78228,78228,Private for Profit,29.453244,-98.562778,1991.0,45724.0,,35226.0,35226.0,0.8622,Bexar,67275,1977132,299972,1677160,15.172077534529812
119,119,South Plains College,Levelland,TX,79336,79336,Public,33.575904,-102.365075,6378.0,12207.0,,2601.0,4857.0,,Hockley,53283,20762,3129,17633,15.0708024275118
120,120,South Texas Barber College Inc,Corpus Christi,TX,78415,78415,Private Non-Profit,27.754868,-97.417156,18.0,,20445.0,,,,Nueces,64027,345480,59784,285696,17.30461965960403
121,121,South Texas College of Law Houston,Houston,TX,77002-7006,77002,Private for Profit,29.753171,-95.36455,,,,,,,Harris,70789,4677056,737681,3939375,15.772336273074345
122,122,South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,78599,78599,Private Non-Profit,26.176606,-98.006077,409.0,,24470.0,,,,Hidalgo,49371,863824,239276,624548,27.69962399748097
123,123,Miller-Motte College-STVT-McAllen,McAllen,TX,78503,78503,Private Non-Profit,26.188539,-98.238293,482.0,,21936.0,,,,Hidalgo,49371,863824,239276,624548,27.69962399748097
124,124,Southern Methodist University,Dallas,TX,75275-0221,75275,Private for Profit,32.843612,-96.783365,7044.0,79885.0,,61980.0,61980.0,0.5225,Dallas,70732,2573799,359882,2213917,13.982521556656131
125,125,Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,78221-0138,78221,Private Non-Profit,29.357965,-98.49583,18.0,,26887.0,,,,Bexar,67275,1977132,299972,1677160,15.172077534529812
126,126,Southwest Texas Junior College,Uvalde,TX,78801-6297,78801,Public,29.219671,-99.741237,3099.0,13163.0,,2502.0,5886.0,,Uvalde,55000,24005,5791,18214,24.12414080399917
127,127,Southwestern Assemblies of God University,Waxahachie,TX,75165,75165,Private for Profit,32.40443,-96.853492,1435.0,31917.0,,17782.0,17782.0,0.8565,Ellis,93248,193409,15850,177559,8.195068481818323
128,128,Southwestern University,Georgetown,TX,78626,78626,Private for Profit,30.634341,-97.665738,1480.0,61668.0,,48650.0,48650.0,0.4479,Williamson,102851,612543,38840,573703,6.340779341205434
129,129,Stephen F Austin State University,Nacogdoches,TX,75961,75961,Public,31.621056,-94.64908,8961.0,24402.0,,10600.0,21616.0,0.8951,Nacogdoches,51153,59438,13339,46099,22.4418722029678
130,130,Texas State University,San Marcos,TX,78666,78666,Public,29.888885,-97.943029,33834.0,25797.0,,11135.0,22559.0,0.877,Hays,79990,237907,30750,207157,12.925218677886738
131,131,Southwestern Adventist University,Keene,TX,76059,76059,Private for Profit,32.397617,-97.32702,659.0,34060.0,,24060.0,24060.0,0.5362,Johnson,77058,179607,19045,160562,10.603706982467276
132,132,Southwestern Christian College,Terrell,TX,75160-4812,75160,Private for Profit,32.735508,-96.285649,84.0,16554.0,,12030.0,12030.0,,Kaufman,84075,148029,14486,133543,9.785920326422524
133,133,Sul Ross State University,Alpine,TX,79832,79832,Public,30.363139,-103.651469,1495.0,22434.0,,7649.0,17441.0,0.9707,Brewster,47747,9233,1445,7788,15.650384490414815
134,134,Tarleton State University,Stephenville,TX,76401-0000,76401,Public,32.217805,-98.219039,11880.0,22286.0,,7848.0,17640.0,0.8706,Erath,59654,40305,6667,33638,16.54137203820866
135,135,Tarrant County College District,Fort Worth,TX,76102,76102,Public,32.757362,-97.337149,38915.0,11554.0,,1728.0,8235.0,,Tarrant,78872,2083760,229643,1854117,11.02060697969056
136,136,Temple College,Temple,TX,76504-7435,76504,Public,31.070715,-97.350471,3198.0,10093.0,,2880.0,6576.0,,Bell,62858,360787,52988,307799,14.68678195167786
137,137,University of Texas Southwestern Medical Center,Dallas,TX,75390-9096,75390,Public,32.812307,-96.841156,,,,,,,Dallas,70732,2573799,359882,2213917,13.982521556656131
138,138,The University of Texas Health Science Center at San Antonio,San Antonio,TX,78229-3900,78229,Public,29.508107,-98.575655,785.0,,,,,,Bexar,67275,1977132,299972,1677160,15.172077534529812
139,139,The University of Texas Medical Branch at Galveston,Galveston,TX,77555-0129,77555,Public,29.310758,-94.775956,585.0,,,,,,Galveston,83913,344758,37987,306771,11.018453523921128
140,140,Texarkana College,Texarkana,TX,75599,75599,Public,33.441868,-94.078,1635.0,12984.0,,2476.0,5332.0,,Bowie,56628,86991,15117,71874,17.37765975790599
141,141,Texas A & M University-Kingsville,Kingsville,TX,78363,78363,Public,27.525168,-97.882387,4562.0,22081.0,,9892.0,25746.0,0.9655,Kleberg,52487,29068,8885,20183,30.566258428512455
